data,hora,t1,t2,x,y,z
01/08/2011,11:13:22.00,4,8,291562.956,7606706.681,-3.506
01/08/2011,11:13:23.00,4,8,291563.012,7606706.620,-3.512
01/08/2011,11:13:24.00,4,8,291563.025,7606706.590,-3.517
01/08/2011,11:13:25.00,4,8,291563.062,7606706.591,-3.516
01/08/2011,11:13:26.00,4,8,291563.111,7606706.561,-3.521
01/08/2011,11:13:27.00,4,8,291563.334,7606706.464,-3.435
01/08/2011,11:13:28.00,4,8,291564.374,7606706.244,-3.492
01/08/2011,11:13:29.00,4,8,291565.634,7606706.123,-3.586
01/08/2011,11:13:30.00,4,8,291567.001,7606706.029,-3.662
01/08/2011,11:13:31.00,4,8,291568.323,7606705.940,-3.748
01/08/2011,11:13:32.00,4,8,291569.071,7606705.820,-3.879
01/08/2011,11:13:33.00,4,8,291569.126,7606705.792,-3.888
01/08/2011,11:13:34.00,4,8,291569.142,7606705.772,-3.894
01/08/2011,11:13:35.00,4,8,291569.160,7606705.759,-3.895
01/08/2011,11:13:36.00,4,8,291569.184,7606705.759,-3.890
01/08/2011,11:13:37.00,4,8,291569.193,7606705.751,-3.893
01/08/2011,11:13:38.00,4,8,291569.804,7606705.635,-3.877
01/08/2011,11:13:39.00,4,8,291571.113,7606705.477,-4.017
01/08/2011,11:13:40.00,4,8,291572.706,7606705.507,-4.238
01/08/2011,11:13:41.00,4,8,291574.241,7606705.558,-4.397
01/08/2011,11:13:42.00,4,8,291575.745,7606705.579,-4.543
01/08/2011,11:13:43.00,4,8,291577.296,7606705.701,-4.699
01/08/2011,11:13:44.00,4,8,291578.938,7606705.687,-4.945
01/08/2011,11:13:45.00,4,8,291580.594,7606705.663,-5.125
01/08/2011,11:13:46.00,4,8,291582.268,7606705.686,-5.244
01/08/2011,11:13:47.00,4,8,291583.918,7606705.639,-5.414
01/08/2011,11:13:48.00,4,8,291585.584,7606705.568,-5.573
01/08/2011,11:13:49.00,4,8,291587.228,7606705.639,-5.717
01/08/2011,11:13:50.00,4,8,291588.824,7606705.661,-5.803
01/08/2011,11:13:51.00,4,8,291590.352,7606705.715,-5.906
01/08/2011,11:13:52.00,4,8,291591.760,7606705.749,-6.021
